draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma
0,993.7033593895186,0.9994325402105396,0.004116071977974781,9.0,1023.0,0.0,-992.564060913868,-2.4017138424096274,0.0098781959687004,0.08236243987731558
1,990.7866910441658,0.9409349762604825,0.0034207472301264106,5.0,47.0,0.0,-990.2266059735335,-2.24422170219467,0.009367635574945066,0.08001915937016453
2,994.1571626703907,0.9320440971133528,0.003564376648405653,9.0,807.0,0.0,-991.6320681112599,-2.4992862053891924,0.010180841099654399,0.0817415827625737
3,992.7981498287544,0.9922357867546372,0.004799396755511533,10.0,1023.0,0.0,-991.9178421431258,-2.3230117246016384,0.009626527473454417,0.08127315722439858
4,992.5809043241404,0.9813138094031103,0.004116071977974781,9.0,511.0,0.0,-992.0239735406838,-2.3292716814149625,0.009641154418810322,0.08583893023419197
5,990.9475096392355,0.9247773037809313,0.0034207472301264106,10.0,1023.0,0.0,-988.4198936270907,-2.7166280417904622,0.010869665888779073,0.08017900153102762
6,994.2190594479708,0.9988682150893298,0.003564376648405653,9.0,1023.0,0.0,-993.7077173251963,-2.5078929235686935,0.010203877787720646,0.0821983691057471
7,992.7968335585454,0.9348594691647594,0.004799396755511533,3.0,15.0,0.0,-992.5283492258853,-2.3237934822516104,0.00961867758746311,0.08128011543243026
8,992.1605265705156,0.9445750999859832,0.004116071977974781,5.0,43.0,0.0,-992.0882434531906,-2.326594407205311,0.009622332245717164,0.08585740527454438
9,993.6979879644695,0.9997864729427003,0.0034207472301264106,9.0,543.0,0.0,-990.6727261551275,-2.3846410214770115,0.009810339504680847,0.08312081301123514
10,993.9807807675439,0.9934852356048101,0.003564376648405653,9.0,1023.0,0.0,-993.5150416163783,-2.4806186705595614,0.0101184280867349,0.0807463718552081
11,993.2475198080347,0.7549678045308436,0.004799396755511533,9.0,1023.0,0.0,-991.2821516962575,-2.6217822480840605,0.010569028891534526,0.08201907048381617
12,991.3842346474253,0.6765460451362173,0.004116071977974781,2.0,7.0,0.0,-989.347639668872,-2.3265075695719015,0.009651101136212302,0.08582348559668314
13,992.518473411229,0.9994584625413178,0.0034207472301264106,9.0,511.0,0.0,-991.9851254980965,-2.299890814196004,0.009553716723807566,0.08175740643142448
